1d0t,1d1t,1d2t,1d3t,1d4t,2d0t,2d1t,2d2t,2d3t,2d4t,3d0t,3d1t,3d2t,3d3t,3d4t,4d0t,4d1t,4d2t,4d3t,4d4t,5d0t,5d1t,5d2t,5d3t,5d4t,6d0t,6d1t,6d2t,6d3t,6d4t
0.25,0.20833333333333334,0.171875,0.140625,0.1142578125,0.38888888888888884,0.33333333333333326,0.28298611111111105,0.23871527777777768,0.20062934027777768,0.474537037037037,0.41782407407407407,0.36443865740740733,0.316261574074074,0.27402524594907396,0.5347222222222221,0.4822530864197529,0.4308449074074072,0.38324652777777757,0.34076605902777757,0.582497427983539,0.5361689814814814,0.4888639724794237,0.4439662101337447,0.4032286341788836,0.6237997256515773,0.5838906035665292,0.5414000878772289,0.5001131955161178,0.4620837720496826
0.5,0.4166666666666667,0.34375,0.28125,0.228515625,0.7638888888888888,0.6527777777777777,0.5520833333333333,0.4635416666666665,0.3873697916666665,0.912037037037037,0.7986111111111112,0.6918402777777777,0.595486111111111,0.5110134548611109,1.0034722222222219,0.8985339506172837,0.7957175925925923,0.700520833333333,0.615559895833333,1.0668724279835389,0.9742155349794237,0.8796055169753084,0.7898099922839504,0.7083348403742282,1.1159872256515773,1.0361689814814812,0.9511879501028804,0.8686141653806582,0.7925553184477878
0.75,0.625,0.515625,0.421875,0.3427734375,1.1388888888888888,0.9722222222222221,0.8211805555555555,0.6883680555555554,0.5741102430555554,1.349537037037037,1.1793981481481484,1.019241898148148,0.8747106481481481,0.748001663773148,1.4722222222222219,1.3148148148148144,1.1605902777777775,1.0177951388888884,0.8903537326388885,1.5512474279835389,1.412262088477366,1.2703470614711931,1.1356537744341562,1.013441046569573,1.6081747256515773,1.4884473593964331,1.3609758123285318,1.2371151352451986,1.123026864845893
1,0.8333333333333334,0.6875,0.5625,0.45703125,1.5138888888888888,1.2916666666666665,1.0902777777777777,0.9131944444444442,0.7608506944444442,1.787037037037037,1.5601851851851853,1.3466435185185184,1.1539351851851851,0.984989872685185,1.9409722222222219,1.7310956790123453,1.5254629629629626,1.335069444444444,1.165147569444444,2.035622427983539,1.8503086419753085,1.6610886059670777,1.4814975565843618,1.3185472527649176,2.100362225651577,1.9407257373113849,1.7707636745541833,1.605616105109739,1.4534984112439981
1.25,1.0416666666666667,0.859375,0.703125,0.5712890625,1.8888888888888888,1.611111111111111,1.359375,1.138020833333333,0.947591145833333,2.2245370370370368,1.9409722222222223,1.6740451388888888,1.433159722222222,1.2219780815972219,2.409722222222222,2.147376543209876,1.8903356481481477,1.6523437499999996,1.4399414062499996,2.5199974279835393,2.288355195473251,2.051830150462963,1.8273413387345676,1.623653458960262,2.592549725651577,2.393004115226337,2.180551536779835,1.9741170749742794,1.7839699576421035
1.5,1.25,1.03125,0.84375,0.685546875,2.263888888888889,1.9305555555555554,1.628472222222222,1.3628472222222219,1.1343315972222219,2.662037037037037,2.3217592592592595,2.001446759259259,1.7123842592592593,1.458966290509259,2.8784722222222214,2.5636574074074066,2.255208333333333,1.969618055555555,1.714735243055555,3.004372427983539,2.726401748971193,2.4425716949588474,2.1731851208847734,1.928759665155607,3.084737225651577,2.845282493141289,2.590339399005486,2.3426180448388196,2.1144415040402085
1.75,1.4583333333333335,1.203125,0.984375,0.7998046875,2.638888888888889,2.25,1.8975694444444442,1.5876736111111107,1.3210720486111107,3.099537037037037,2.7025462962962967,2.3288483796296293,1.9916087962962963,1.695954499421296,3.347222222222222,2.979938271604938,2.620081018518518,2.2868923611111103,1.9895290798611103,3.488747427983539,3.1644483024691357,2.833313239454732,2.519028903034979,2.233865871350951,3.576924725651577,3.2975608710562407,3.000127261231138,2.7111190147033604,2.4449130504383136
2,1.6666666666666667,1.375,1.125,0.9140625,3.013888888888889,2.569444444444444,2.1666666666666665,1.8124999999999996,1.5078124999999996,3.537037037037037,3.083333333333334,2.65625,2.270833333333333,1.932942708333333,3.8159722222222214,3.3962191358024683,2.9849537037037033,2.604166666666666,2.264322916666666,3.973122427983539,3.6024948559670777,3.2240547839506166,2.8648726851851847,2.538972077546296,4.069112225651577,3.7498392489711927,3.4099151234567895,3.0796199845679006,2.7753845968364192
